
[[-2.92115691e+00  5.37672141e+01 -8.70493160e-02]
 [-2.92715979e+00  5.37682800e+01 -6.15964862e-02]
 [-2.92015785e+00  5.37670382e+01 -1.12600669e-01]
 [-2.91464654e+00  5.37660751e+01 -1.01215343e-01]
 [-2.93227410e+00  5.37692002e+01 -8.84666227e-02]
 [-2.92977978e+00  5.37687500e+01 -7.21753041e-02]
 [-2.92969905e+00  5.37687355e+01 -1.01919220e-01]
 [-2.92514263e+00  5.37679201e+01 -2.87931970e-02]
 [-2.92672362e+00  5.37682020e+01 -1.02299253e-01]
 [-2.91796832e+00  5.37666541e+01 -1.14035766e-01]
 [-2.91901652e+00  5.37668377e+01 -1.34224945e-01]]
